Longitude;Latitude;DEPART;Elevation (m);Moho Depth (m);Curie Depth (Km);Free Air Anomaly (mGal);Vertical Gravity Gradient (E);Bouguer Anomaly (mGal);Fault;Strike-slip Fault;Reverse or Thrust Fault;Lineament;Magnetic Anomaly (nT)
-70.71740352;1.919701824;VAUPÉS;0.031746032;0.360930699;0.857142857;0.155007948;0.257662153;0.427044611;0.240447395;0.416640577;0.425174373;0.16690559;0.711534828
-74.6211828;10.53842439;MAGDALENA;0;0.281998423;0.357142857;0.109360697;0.238684961;0.383282954;0.081757541;0.051300246;0.056852223;0.476518128;0.450549208
-76.25090993;3.579711832;VALLE DEL CAUCA;0.222222222;0.373855213;0.5;0.185046024;0.139344262;0.309264908;0.009615695;0.04497281;0.02520213;0.062776543;0.547122363
-76.08650959;9.194539517;CÓRDOBA;0.010582011;0.099590324;0.285714286;0.156694126;0.276728439;0.446875708;0.046000977;0.045019435;0.005318248;0.522736784;0.569439638
-75.58461013;9.846392374;SUCRE;0.015873016;0.191593177;0.142857143;0.153418129;0.273788311;0.435742821;0.054772469;0.036137111;0.003277039;0.54329907;0.638467346
-73.18605278;5.069958559;BOYACÁ;0.502645503;0.552210089;0.928571429;0.284265553;0.390591589;0.309169917;0.006963451;0.053767627;0.009186705;0.090103956;0.455434267
-73.6541138;7.873439024;CESAR;0.005291005;0.481491244;0.857142857;0.014043468;0.195414588;0.222434535;0.011303794;0.038017748;0.042765981;0.230773806;0.662818305
-73.26652418;8.224716882;NORTE DE SANTANDER;0.343915344;0.572876841;0.714285714;0.264898603;0.286202186;0.321921813;0.013121424;0.02114471;0.037973907;0.278527545;0.685392022
-76.37547272;5.469511832;CHOCÓ;0.063492063;0.379611126;0.357142857;0.140458663;0.214094797;0.38703029;0.004948313;0.035842237;0.033394998;0.21416542;0.874516412
-77.64254604;2.860045105;CAUCA;0;0.195720768;0.285714286;0.119260995;0.250326681;0.397424923;0.077808816;0.102634465;0.05359262;0.228484944;0.573493046
-75.06209673;0.429107756;CAQUETÁ;0.042328042;0.2757917;0.642857143;0.167871084;0.273075552;0.43510686;0.202173334;0.26643;0.142080733;0.19350235;0.546181967
-72.93736326;6.594097631;SANTANDER;0.417989418;0.540288508;1;0.184805142;0.09366833;0.21912978;0.003033237;0.00868611;0.008548896;0.254843405;0.506924585
-76.0706588;9.115256105;CÓRDOBA;0.010582011;0.121437302;0.285714286;0.144625914;0.254900214;0.429729137;0.032986028;0.035048;0.007212776;0.501129906;0.574837581
-73.77398119;5.68494615;BOYACÁ;0.560846561;0.720159893;0.928571429;0.399359264;0.453848895;0.380623904;0.018833335;0.023178439;0.030107698;0.076722886;0.736941744
-76.88556895;1.125626546;PUTUMAYO;0.645502646;0.76614002;0.357142857;0.233680209;0.211659539;0.012968622;0.006289382;0.055236945;0.021572795;0.155832545;0.539907252
-72.86508918;6.722915869;SANTANDER;0.312169312;0.571604188;1;0.330490932;0.300190069;0.309584684;0.001323317;0.007324763;0.02798661;0.296332659;0.492460604
-74.37266881;6.352979808;SANTANDER;0.021164021;0.476700625;0.857142857;0.050729898;0.214243288;0.274134205;0.024460165;0.031246891;0.021013778;0.130573181;0.687703571
-74.66064416;-0.104743481;PUTUMAYO;0.037037037;0.276218265;0.642857143;0.160668689;0.260008316;0.429907191;0.3082958;0.333799382;0.229918078;0.012192706;0.559158584
-71.99404243;6.932429874;BOYACÁ;0.074074074;0.546196768;0.928571429;0.051307991;0.197731053;0.226804998;0.024593449;0.018596353;0.007081353;0.49040192;0.507994824
-73.77920117;7.631602738;SANTANDER;0.005291005;0.537878227;0.928571429;0.016765453;0.232062248;0.233415599;0.022403796;0.018179374;0.053483603;0.208039111;0.653923985
-73.75917218;6.431460441;SANTANDER;0.17989418;0.701282581;1;0.065977751;0.185317177;0.134550276;0.040511141;0.027534304;0.007383278;0.235720404;0.660314586
-76.80124036;6.491407107;ANTIOQUIA;0;0.253526244;0.428571429;0.110661469;0.227310525;0.379236706;0.017674902;0.073970308;0.062637574;0.282039484;0.71714604
-73.8279326;7.217646642;SANTANDER;0.010582011;0.627829286;0.928571429;0.019559686;0.221281777;0.231059001;0.020722808;0.030916232;0.019095293;0.249655495;0.691648883
-76.74191239;0.554945168;PUTUMAYO;0.063492063;0.467472713;0.357142857;0.106060618;0.255197196;0.339687593;0.040287994;0.051621122;0.040202632;0.239542469;0.548722042
-74.61516932;9.097048418;BOLÍVAR;0;0.452094375;0.357142857;0.104591239;0.26078047;0.36889731;0.09920055;0.086043926;0.061441627;0.206871934;0.512278381
-74.59243601;8.275608665;BOLÍVAR;0;0.502348456;0.714285714;0.107505913;0.249940603;0.366370364;0.025141469;0.009217095;0.000855396;0.031560424;0.494900049
-76.5319846;7.541363159;ANTIOQUIA;0.063492063;0.358398102;0.357142857;0.225442034;0.291161796;0.424805501;0.039097924;0.037961163;0.020165473;0.097686519;0.252146485
