Elevation (m);Surface Temperature (C);Moho Depth (m);Curie Depth (Km);Magnetic Anomaly (nT)
415.1376;26.124312;37997.17178;34;-38.7833
271.5768;26.842116;35076.15121;22;-11.083
468;25.86;45534.9528;30;-3.6517
460.5528;25.897236;45435.39182;30;-2.7063
490;25.75;45653.67922;30;-4.7005
136.8552;27.515724;37457.97803;32;30.7509
136.8552;27.515724;37458.16168;32;30.7509
137.4648;27.512676;37467.93065;32;30.7509
137.4648;27.512676;37468.4243;32;30.7509
139.2936;27.503532;37498.44429;32;30.7509
136.8552;27.515724;37457.61204;32;30.7509
107.5944;27.662028;41894.32171;36;20.4767
137.16;27.5142;37507.49731;32;30.7509
137.4648;27.512676;37526.38513;32;30.7509
54.5592;27.927204;38049.37834;20;-14.9738
883.92;23.7804;45380.19588;30;-1.6771
453.2376;25.933812;45308.2542;30;-1.6771
521;25.595;45312.32363;30;-1.6771
469.6968;25.851516;45291.74861;30;-1.6771
474;25.83;45292.93822;30;-1.6771
442.2648;25.988676;45335.91091;30;-1.8654
474.8784;25.825608;45331.63538;30;-1.6771
549;25.455;45253.51652;30;-1.6771
467;25.865;45238.5637;30;-1.9007
524;25.58;45311.57915;30;-1.6771
465;25.875;45309.07092;30;-1.6771
477;25.815;45332.14881;30;-1.6771
658;24.91;45277.09457;30;-1.6771
4;28.18;34375.10951;16;-75.4544
6;28.17;34316.89004;16;-75.4544
4;28.18;34359.48001;16;-73.7371
6;28.17;34414.1619;16;-73.7371
2;28.19;34365.04367;16;-73.7371
5.7912;28.171044;34410.28088;16;-73.7371
31.6992;28.041504;35578.81323;20;-29.3312
38.1;28.0095;35993.85548;18;-18.6256
128.9304;27.555348;37410.63554;32;31.5688
84.1248;27.779376;40859.69381;36;18.6246
109.1184;27.654408;38367.96849;36;30.3652
118.872;27.60564;38365.39613;36;30.3652
176.784;27.31608;38072.98323;34;52.2795
175.8696;27.320652;38078.93672;34;52.2795
41.148;27.99426;37404.78609;32;19.8341
41.4528;27.992736;37369.58645;32;19.9943
40.8432;27.995784;37388.14273;32;19.8341
40.2336;27.998832;37397.82585;32;19.9943
40.8432;27.995784;37369.27804;32;19.9943
40.8432;27.995784;37370.62943;32;19.9943
41.148;27.99426;37379.44234;32;19.9943
41.4528;27.992736;37415.1884;32;19.8341
42.0624;27.989688;37382.2804;32;19.8341
38.7096;28.006452;37375.49014;32;19.8341
19.812;28.10094;37669.72357;20;-28.5933
96.012;27.71994;29537.7711;12;-46.4291
156.6672;27.416664;36530.92964;32;21.4941
156.0576;27.419712;36477.50663;32;21.4941
137.16;27.5142;37835.79257;34;23.1834
175.8696;27.320652;37750.96965;32;31.6878
117.9576;27.610212;41996.29305;36;26.9021
256.3368;26.918316;43146.33471;32;28.6974
191.4144;27.242928;34026.14465;34;-51.2835
191.53632;27.2423184;34026.23326;34;-51.2835
191.1096;27.244452;34041.7809;34;-42.1204
190.1952;27.249024;34014.47801;34;-51.2835
190.1952;27.249024;34033.68952;34;-42.1204
188.61024;27.2569488;34037.50736;34;-42.1204
194.31;27.22845;34034.06708;34;-42.1204
75.8952;27.820524;42295.03024;36;29.678
109.1184;27.654408;37392.29317;34;30.4576
149.352;27.45324;33169.1463;18;-4.1414
185.6232;27.271884;37164.02789;36;9.544
1932;18.54;44600.89359;32;15.6225
655;24.925;44121.95678;24;-28.5919
2543.2512;15.483744;41688.28503;38;-23.5547
155.448;27.42276;37493.9135;34;30.4317
154.2288;27.428856;41093.50118;36;22.6111
133.5024;27.532488;41050.69998;36;22.6111
146.6088;27.466956;41012.80351;36;22.6111
126.1872;27.569064;41086.18692;36;22.6111
157.2768;27.413616;40966.93264;36;22.6111
133.1976;27.534012;41006.06458;36;22.6111
136.2456;27.518772;41024.67281;36;22.6111
152.0952;27.439524;40995.61145;36;22.6111
114.3;27.6285;41084.5091;36;22.6111
154.2288;27.428856;41035.2166;36;22.6111
123.444;27.58278;41138.72972;36;22.3907
131.064;27.54468;41105.85743;36;22.6111
114.9096;27.625452;41105.62064;36;22.3907
127.1016;27.564492;41019.19163;36;22.6111
124.3584;27.578208;41072.36162;36;22.6111
147.5232;27.462384;41134.54611;36;22.6111
115.824;27.62088;41121.55637;36;22.3907
153.924;27.43038;40985.34577;36;22.6111
129.54;27.5523;41174.8932;36;22.3907
140.5128;27.497436;41063.34422;36;22.6111
19.5072;28.102464;37347.38037;20;-28.2385
17.0688;28.114656;37255.83459;20;-22.2435
17.0688;28.114656;37270.24199;20;-22.2435
20.1168;28.099416;37304.05955;20;-29.3196
19.812;28.10094;37329.87132;20;-28.2385
17.6784;28.111608;37226.61125;20;-22.2435
18.288;28.10856;37244.98165;20;-22.2435
21.336;28.09332;37275.62972;20;-22.2435
18.288;28.10856;37212.78618;20;-22.2435
21.336;28.09332;37299.44101;20;-29.3196
17.6784;28.111608;37277.03593;20;-22.2435
19.812;28.10094;37344.74183;20;-28.2385
19.5072;28.102464;37383.91003;20;-28.2385
18.288;28.10856;37267.7396;20;-29.3196
19.5072;28.102464;37365.60891;20;-28.2385
16.4592;28.117704;37197.87514;20;-22.2435
19.5072;28.102464;37340.29875;20;-28.2385
14.0208;28.129896;37249.04408;20;-22.2435
21.9456;28.090272;37429.43887;20;-28.2385
20.4216;28.097892;37172.97093;20;-22.2435
27.1272;28.064364;37231.34856;20;-29.3196
20.1168;28.099416;37380.31938;20;-28.2385
15.8496;28.120752;37072.39946;22;-32.3364
